01|Hello, my name is Mrunmoy.|Hello, my name is Mrunmoy.
02|I’m creating my own voice clone.|I’m creating my own voice clone.
03|This is really fun and exciting!|This is really fun and exciting!
04|How are you doing today?|How are you doing today?
05|Let’s see how this sounds.|Let’s see how this sounds.
06|I’ll be right back.|I’ll be right back.
07|What time is it now?|What time is it now?
08|Could you please help me with this?|Could you please help me with this?
09|That was amazing, wasn’t it?|That was amazing, wasn’t it?
10|I love working on new projects.|I love working on new projects.
11|Sometimes, I wonder, what the future of artificial intelligence, will look like.|Sometimes, I wonder, what the future of artificial intelligence, will look like.
12|Voice cloning can be used in so many creative ways, from storytelling to accessibility.|Voice cloning can be used in so many creative ways, from storytelling to accessibility.
13|It’s important to use this technology responsibly and ethically.|It’s important to use this technology responsibly and ethically.
14|I hope my cloned voice will sound natural and clear.|I hope my cloned voice will sound natural and clear.
15|Recording this training data takes time, but it’s worth it!|Recording this training data takes time, but it’s worth it!
16|Wow! I can’t believe this is really working!|Wow! I can’t believe this is really working!
17|Oh no, I forgot to save my project.|Oh no, I forgot to save my project.
18|Wait a second — did you just hear that?|Wait a second — did you just hear that?
19|That’s fantastic news!|That’s fantastic news!
20|Seriously? You have to be kidding me!|Seriously? You have to be kidding me!
21|Peter Piper picked a peck of pickled peppers.|Peter Piper picked a peck of pickled peppers.
22|She sells seashells by the seashore.|She sells seashells by the seashore.
23|Unique New York. Unique New York.|Unique New York. Unique New York.
24|Red lorry, yellow lorry, red lorry, yellow lorry.|Red lorry, yellow lorry, red lorry, yellow lorry.
25|The quick brown fox jumps over the lazy dog.|The quick brown fox jumps over the lazy dog.
26|The lazy lion lies low.|The lazy lion lies low.
27|Please pass the salt and pepper.|Please pass the salt and pepper.
28|The weather is quite nice this afternoon.|The weather is quite nice this afternoon.
29|I need to buy some groceries.|I need to buy some groceries.
30|Can you hear me now?|Can you hear me now?
31|This is a test of the emergency broadcast system.|This is a test of the emergency broadcast system.
32|The capital of France is Paris.|The capital of France is Paris.
33|1, 2, 3, 4, 5, 6, 7, 8, 9, 10.|One, two, three, four, five, six, seven, eight, nine, ten.
34|Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday.|Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday.
35|January, February, March, April, May, June, July, August, September, October, November, December.|January, February, March, April, May, June, July, August, September, October, November, December.
36|My birthday is on the fifteenth of October.|My birthday is on the fifteenth of October.
37|The year is 2025.|The year is two thousand twenty five.
38|The early bird catches the worm.|The early bird catches the worm.
39|A stitch in time saves 9.|A stitch in time saves nine.
40|Actions speak louder than words.|Actions speak louder than words.
41|Look before you leap.|Look before you leap.
42|Every cloud has a silver lining.|Every cloud has a silver lining.
43|It's raining cats and dogs.|It's raining cats and dogs.
44|Let's get down to business.|Let's get down to business.
45|Time flies when you're having fun.|Time flies when you're having fun.
46|That's absolutely incredible!|That's absolutely incredible!
47|I'm so sorry to hear that.|I'm so sorry to hear that.
48|What do you mean by that?|What do you mean by that?
49|Could you please repeat that?|Could you please repeat that?
50|Stop right there!|Stop right there!
51|Wow, that's amazing!|Wow, that's amazing!
52|I'm feeling a bit tired today.|I'm feeling a bit tired today.
53|Are you serious?|Are you serious?
54|This is going to be difficult.|This is going to be difficult.
55|I completely agree with you.|I completely agree with you.
56|No, I don't think so.|No, I don't think so.
57|Thank you very much for your help.|Thank you very much for your help.
58|I'm really looking forward to it.|I'm really looking forward to it.
59|Don't worry about a thing.|Don't worry about a thing.
60|It's a beautiful day for a walk.|It's a beautiful day for a walk.
61|I can't believe this is happening.|I can't believe this is happening.
62|This pie tastes delicious.|This pie tastes delicious.
63|I'm a little bit nervous.|I'm a little bit nervous.
64|It's a privilege to be here.|It's a privilege to be here.
65|Are we there yet?|Are we there yet?
66|The intricate network of roads winds through the dense forest, connecting small villages to the bustling city.|The intricate network of roads winds through the dense forest, connecting small villages to the bustling city.
67|Despite the adverse weather conditions, the determined hikers successfully reached the summit before dusk.|Despite the adverse weather conditions, the determined hikers successfully reached the summit before dusk.
68|The esteemed professor delivered a captivating lecture on the historical significance of ancient civilizations.|The esteemed professor delivered a captivating lecture on the historical significance of ancient civilizations.
